brand,lens,code,category,index,form,type,blank_mm,sph_min,sph_max,cyl_max,combined_max,price,coating,notes
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,89.10,Hi-Vision ViewProtect,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,92.10,ViewProtect BlueControl,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,96.90,Hi-Vision Meiryo Diamond,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,99.40,Diamond Finish UV BlueControl,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,99.90,Full Control,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,93.90,Hi-Vision Sun Pro,blanks 65/70/75
Hoya,Hoyalux iD MySelf,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,94.90,Mirror,blanks 65/70/75
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,112.90,Hi-Vision ViewProtect,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,115.90,ViewProtect BlueControl,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,118.90,Hi-Vision Meiryo Diamond,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,121.40,Diamond Finish UV BlueControl,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,121.90,Full Control,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,115.90,Hi-Vision Sun Pro,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity 2 / Dark / Fast / Shine,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,116.90,Mirror,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity Colours,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,121.40,Hi-Vision Sun Pro,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Sensity Colours,MYSELF-1.50,Progressive,1.50,Freeform,grind,65/70/75,,,,,122.40,Mirror,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,97.96,Hi-Vision ViewProtect,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,100.96,ViewProtect BlueControl,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,102.61,Hi-Vision Meiryo Diamond,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,105.11,Diamond Finish UV BlueControl,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,107.61,Full Control,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,99.61,Hi-Vision Sun Pro,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,100.91,Mirror,blanks 65/70/75
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,120.76,Hi-Vision ViewProtect,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,123.76,ViewProtect BlueControl,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,125.41,Hi-Vision Meiryo Diamond,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,127.91,Diamond Finish UV BlueControl,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,130.41,Full Control,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,122.41,Hi-Vision Sun Pro,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Phoenix Sensity 2 / Dark / Fast / Shine,MYSELF-1.53,Progressive,1.53,Freeform,grind,65/70/75,,,,,123.41,Mirror,blanks 65/70/75; Sensity photochromic
Hoya,Hoyalux iD MySelf Eyas,MYSELF-1.60,Progressive,1.60,Freeform,grind,65/70/75/80,,,,,125.70,Hi-Vision Meiryo Diamond,blanks 65/70/75/80
Hoya,Hoyalux iD MySelf Eyas,MYSELF-1.60,Progressive,1.60,Freeform,grind,65/70/75/80,,,,,128.20,Diamond Finish UV BlueControl,blanks 65/70/75/80
