supplier,brand,lens,code,category,index,material,form,type,blank_mm,sph_min,sph_max,cyl_max,combined_max,range_basis,add_min,add_max,add_range,price,price_promo,price_basis,coating,min_fh_mm,notes
Synchrony,ZEISS Synchrony,FSV Clear (tintable) 1.50,,Single vision,1.50,Clear,Spherical,stock,65,+0.00,+6.00,-2.00,0.00,combined,,,,3.98,2.66,L25,HC hard coat,,synchrony book p3; book $4.25 L20
Synchrony,ZEISS Synchrony,FSV Clear (tintable) 1.50,,Single vision,1.50,Clear,Spherical,stock,70,-6.00,+4.00,-2.00,6.00,combined,,,,3.98,2.66,L25,HC hard coat,,synchrony book p3; book $4.25 L20
Synchrony,ZEISS Synchrony,FSV Clear (tintable) 1.50,,Single vision,1.50,Clear,Spherical,stock,75,-4.00,+4.00,-2.00,4.00,combined,,,,7.55,5.03,L25,HC hard coat,,synchrony book p3; book $8.05 L20
Synchrony,ZEISS Synchrony,FSV Clear 1.50,,Single vision,1.50,Clear,Spherical,stock,65,+0.00,+6.00,-2.00,0.00,combined,,,,7.08,4.72,L25,HMC+,,synchrony book p3; book $7.55 L20
Synchrony,ZEISS Synchrony,FSV Clear 1.50,SMC70.,Single vision,1.50,Clear,Spherical,stock,70,-6.00,+6.00,-2.00,6.00,combined,,,,6.80,,deal,HMC+,,synchrony book p3; deal price fixed for the term (book $7.55 L20)
Synchrony,ZEISS Synchrony,FSV Photo Grey 1.50,,Single vision,1.50,Photochromic,Spherical,stock,65,+0.25,+4.00,-2.00,,combined,,,,21.28,14.19,L25,DSHC hard coat,,synchrony book p3; book $22.70 L20
Synchrony,ZEISS Synchrony,FSV Photo Grey 1.50,,Single vision,1.50,Photochromic,Spherical,stock,70,-6.00,+0.00,-2.00,6.00,combined,,,,21.28,14.19,L25,DSHC hard coat,,synchrony book p3; book $22.70 L20
Synchrony,ZEISS Synchrony,FSV Photo Grey 1.50,,Single vision,1.50,Photochromic,Spherical,stock,65,+0.00,+4.00,-2.00,,combined,,,,23.62,15.75,L25,HMC+,,synchrony book p3; book $25.20 L20
Synchrony,ZEISS Synchrony,FSV Photo Grey 1.50,,Single vision,1.50,Photochromic,Spherical,stock,70,-6.00,+0.00,-2.00,6.00,combined,,,,23.62,15.75,L25,HMC+,,synchrony book p3; book $25.20 L20
Synchrony,ZEISS Synchrony,FSV Trivex 1.53,,Single vision,1.53,Clear,Spherical,stock,65,+0.25,+4.00,-2.00,,combined,,,,14.16,9.44,L25,DSHC hard coat,,synchrony book p3; book $15.10 L20
Synchrony,ZEISS Synchrony,FSV Trivex 1.53,,Single vision,1.53,Clear,Spherical,stock,70,-4.00,+0.00,-2.00,,combined,,,,14.16,9.44,L25,DSHC hard coat,,synchrony book p3; book $15.10 L20
Synchrony,ZEISS Synchrony,FSV Trivex 1.53,,Single vision,1.53,Clear,Spherical,stock,65,+0.25,+4.00,-2.00,,combined,,,,20.77,13.84,L25,HMC,,synchrony book p3; book $22.15 L20
Synchrony,ZEISS Synchrony,FSV Trivex 1.53,,Single vision,1.53,Clear,Spherical,stock,70,-4.00,+0.00,-2.00,,combined,,,,20.77,13.84,L25,HMC,,synchrony book p3; book $22.15 L20
