supplier,brand,lens,code,category,index,material,form,type,blank_mm,sph_min,sph_max,cyl_max,combined_max,range_basis,add_min,add_max,add_range,price,price_promo,price_basis,coating,min_fh_mm,notes
ZEISS,ZEISS,FSV 1.50,,Single vision,1.50,Clear,Spherical,stock,65,+2.00,+6.00,-2.00,,combined,,,,4.73,3.16,L25,Hardcoat UV,,ZEISS book p3; book $5.05 L20
ZEISS,ZEISS,FSV 1.50,,Single vision,1.50,Clear,Spherical,stock,70,-6.00,+4.00,-2.00,6.00,combined,,,,4.73,3.16,L25,Hardcoat UV,,ZEISS book p3; book $5.05 L20
ZEISS,ZEISS,ClearView FSV 1.50,,Single vision,1.50,Clear,ClearView,stock,65,+2.00,+6.00,-2.00,,combined,,,,15.80,10.53,L25,DuraVision Gold UV,,ZEISS book p3; book $16.85 L20
ZEISS,ZEISS,ClearView FSV 1.50,,Single vision,1.50,Clear,ClearView,stock,70,-6.00,+4.00,-2.00,6.00,combined,,,,15.80,10.53,L25,DuraVision Gold UV,,ZEISS book p3; book $16.85 L20
ZEISS,ZEISS,ClearView FSV 1.50,375175,Single vision,1.50,Clear,ClearView,stock,65,+2.00,+6.00,-2.00,,combined,,,,12.50,,deal,DuraVision Platinum UV,,ZEISS book p3; deal price fixed for the term (book $15.90 L20)
ZEISS,ZEISS,ClearView FSV 1.50,375177,Single vision,1.50,Clear,ClearView,stock,70,-6.00,+4.00,-2.00,6.00,combined,,,,12.50,,deal,DuraVision Platinum UV,,ZEISS book p3; deal price fixed for the term (book $15.90 L20)
ZEISS,ZEISS,ClearView FSV 15 PFX Extra Grey PhotoFusionX 1.50,,Single vision,1.50,PhotoFusionX,ClearView,stock,65,+0.25,+4.00,-2.00,,combined,,,,30.38,20.25,L25,DuraVision Platinum UV,,ZEISS book p3; book $32.40 L20
ZEISS,ZEISS,ClearView FSV 15 PFX Extra Grey PhotoFusionX 1.50,,Single vision,1.50,PhotoFusionX,ClearView,stock,70,-6.00,+0.00,-2.00,6.00,combined,,,,30.38,20.25,L25,DuraVision Platinum UV,,ZEISS book p3; book $32.40 L20
ZEISS,ZEISS,ClearView FSV BluePro 1.50,375215,Single vision,1.50,Clear BluePro,ClearView,stock,65,+2.00,+6.00,-2.00,,combined,,,,12.50,,deal,DuraVision Platinum UV,,ZEISS book p3; deal price fixed for the term (book $19.75 L20)
ZEISS,ZEISS,ClearView FSV BluePro 1.50,375217,Single vision,1.50,Clear BluePro,ClearView,stock,70,-6.00,+4.00,-2.00,6.00,combined,,,,12.50,,deal,DuraVision Platinum UV,,ZEISS book p3; deal price fixed for the term (book $19.75 L20)
ZEISS,ZEISS,ClearView FSV 1.60,,Single vision,1.60,Clear,ClearView,stock,65,+2.00,+6.00,-2.00,,combined,,,,28.22,18.81,L25,DuraVision Gold UV,,ZEISS book p3; book $30.10 L20
ZEISS,ZEISS,ClearView FSV 1.60,,Single vision,1.60,Clear,ClearView,stock,70,+0.25,+4.00,-2.00,,combined,,,,28.22,18.81,L25,DuraVision Gold UV,,ZEISS book p3; book $30.10 L20
ZEISS,ZEISS,ClearView FSV 1.60,,Single vision,1.60,Clear,ClearView,stock,70,-8.00,-6.25,-2.00,8.00,combined,,,,28.22,18.81,L25,DuraVision Gold UV,,ZEISS book p3; book $30.10 L20
ZEISS,ZEISS,ClearView FSV 1.60,,Single vision,1.60,Clear,ClearView,stock,75,-6.00,+0.00,-3.00,6.00,combined,,,,28.22,18.81,L25,DuraVision Gold UV,,ZEISS book p3; book $30.10 L20
